,Time,Latitude,Longitude,Heading,Kts,km/h,Altitude,RoC,Reporting Facility,time_stamp,Flight Time
2,08:01:22,-6.1203,106.6412,246.0,159,183,244.0,,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:01:22,0.0
3,08:01:38,-6.1247,106.6298,259.0,160,184,442.0,586.0,FlightAware ADS-B (CGK / WIII),2021-04-13 08:01:38,0.2666666666666515
4,08:01:54,-6.1235,106.6184,291.0,171,197,556.0,400.0,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:01:54,0.533333333333303
5,08:02:10,-6.1146,106.6066,316.0,190,219,655.0,357.0,FlightAware ADS-B (WIRR),2021-04-13 08:02:10,0.8000000000000114
6,08:02:26,-6.1014,106.6025,359.0,221,254,747.0,343.0,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:02:26,1.0666666666666629
7,08:02:42,-6.0838,106.6085,36.0,256,295,838.0,372.0,FlightAware ADS-B (HLP / WIHH),2021-04-13 08:02:42,1.3333333333333144
8,08:02:58,-6.0712,106.6244,61.0,283,326,945.0,529.0,FlightAware ADS-B (WIRR),2021-04-13 08:02:58,1.599999999999966
9,08:03:14,-6.062,106.6418,63.0,290,334,1120.0,742.0,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:03:14,1.8666666666666742
10,08:03:43,-6.0439,106.6782,63.0,300,345,1501.0,845.0,FlightAware ADS-B (CGK / WIII),2021-04-13 08:03:43,2.349999999999966
11,08:04:13,-6.0238,106.7168,62.0,302,348,1951.0,914.0,FlightAware ADS-B (WIRR),2021-04-13 08:04:13,2.849999999999966
12,08:04:43,-6.0049,106.7538,63.0,301,346,2416.0,930.0,FlightAware ADS-B (WIRR),2021-04-13 08:04:43,3.349999999999966
13,08:05:13,-5.987,106.79,64.0,301,346,2880.0,838.0,FlightAware ADS-B (HLP / WIHH),2021-04-13 08:05:13,3.849999999999966
14,08:05:43,-5.9684,106.8282,66.0,314,361,3254.0,547.0,FlightAware ADS-B (HLP / WIHH),2021-04-13 08:05:43,4.349999999999966
15,08:06:09,-5.9564,106.8657,76.0,348,400,3391.0,417.0,FlightAware ADS-B (CGK / WIII),2021-04-13 08:06:09,4.783333333333303
16,08:06:28,-5.9456,106.8956,59.0,360,414,3566.0,739.0,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:06:28,5.099999999999966
17,08:06:48,-5.9218,106.9182,30.0,360,414,3871.0,847.0,FlightAware ADS-B (PCB / WIHP),2021-04-13 08:06:48,5.433333333333337
18,08:07:29,-5.855,106.9435,19.0,371,427,4427.0,805.0,FlightAware ADS-B (WIRR),2021-04-13 08:07:29,6.116666666666674
19,08:07:59,-5.8049,106.9609,19.0,379,436,4823.0,785.0,FlightAware ADS-B (WIRR),2021-04-13 08:07:59,6.616666666666674
20,08:08:29,-5.7563,106.978,20.0,384,442,5212.0,764.0,FlightAware ADS-B (WIRR),2021-04-13 08:08:29,7.116666666666674
